epoch,train_mse,val_mse,wall
1,0.00011457574404026066,6.812744927835461e-05,16.06650317599997
2,5.174228030446142e-05,4.0147588337277985e-05,32.00289356196299
3,3.488479902109602e-05,3.147701957035804e-05,47.9337398649659
4,2.9026638231686626e-05,2.7348562018071608e-05,63.9086370409932
5,2.4824593343853615e-05,2.3385171401730707e-05,79.8738406021148
6,2.1879834321369958e-05,2.1135460598835575e-05,95.5831774380058
7,1.9661089741043613e-05,1.907769639071008e-05,111.74572301795706
8,1.799094534161694e-05,1.8394785761471006e-05,127.84792529093102
9,1.646070765441997e-05,1.5522860850083994e-05,143.60210019513033
10,1.5176113374595794e-05,1.4502363871386082e-05,159.71152342413552
11,1.4190586660548711e-05,1.4184195651617346e-05,175.79249800299294
12,1.3387204552973187e-05,1.3369632159175112e-05,191.85806232295
13,1.2704942073599458e-05,1.2458055517917297e-05,207.76910874503665
14,1.2020800167997467e-05,1.2532857672496432e-05,223.84941113414243
15,1.1580853624804117e-05,1.3185448939379114e-05,239.8874215350952
16,1.102431091808282e-05,1.0954897043779092e-05,256.0123464120552
17,1.0585207770694971e-05,9.999393350494272e-06,272.1925340110902
18,1.0138689697770251e-05,1.0079741781620277e-05,288.22478619404137
19,9.72569863398798e-06,1.0119958416316544e-05,304.40478812297806
20,9.397708587224947e-06,8.945163632616718e-06,320.1465729789343
21,8.99831140974061e-06,9.151754324827134e-06,336.0184504510835
22,8.73742180089312e-06,8.432826851992028e-06,351.77567735593766
23,8.370919107277683e-06,8.462104797858943e-06,367.85649214405566
24,8.157856085780732e-06,8.25521410022875e-06,383.904145199107
25,7.897387572604699e-06,7.823083945978403e-06,399.93980975006707
26,7.588481830838678e-06,8.379923886135104e-06,415.9355611980427
27,7.382703033223604e-06,7.28547762116044e-06,432.1067925160751
28,7.174856879385831e-06,7.214677736111836e-06,448.2541816930752
29,6.953354653150663e-06,6.7427246377309074e-06,464.41938293608837
30,6.74780236073263e-06,7.852393244833932e-06,480.4859152890276
