row,tau_enter,tau_exit,mean_progress_m,median_progress_m,mean_ratio_vs_cls,median_ratio_vs_cls,worse_pct,mean_switches,zero_sw_pct,started_in_cls_pct,term_cone_pct,term_jl_pct,term_lateral_pct,term_collision_pct,term_truncated_pct,term_alive_pct
varB_te=0.80_tx=0.80,0.8,0.8,0.3601,0.3100,1.0883,1.0000,2.37,0.621,73.50,77.33,77.93,11.73,9.40,0.94,0.00,0.00
varB_te=0.80_tx=0.77,0.8,0.77,0.3559,0.3100,1.0760,1.0000,2.12,0.246,79.10,77.33,78.11,11.67,9.28,0.94,0.00,0.00
varB_te=0.80_tx=0.75,0.8,0.75,0.3539,0.3100,1.0707,1.0000,2.06,0.204,81.70,77.33,78.16,11.65,9.25,0.94,0.00,0.00
varB_te=0.80_tx=0.72,0.8,0.7200000000000001,0.3521,0.3100,1.0657,1.0000,1.97,0.171,84.08,77.33,78.21,11.64,9.21,0.94,0.00,0.00
varB_te=0.85_tx=0.85,0.85,0.85,0.3739,0.3200,1.1299,1.0000,3.90,0.852,67.62,65.75,76.88,12.02,9.97,1.13,0.00,0.00
varB_te=0.85_tx=0.82,0.85,0.82,0.3693,0.3200,1.1161,1.0000,3.25,0.302,74.57,65.75,77.14,12.03,9.71,1.12,0.00,0.00
varB_te=0.85_tx=0.80,0.85,0.7999999999999999,0.3666,0.3200,1.1088,1.0000,3.12,0.248,77.68,65.75,77.23,11.98,9.67,1.12,0.00,0.00
varB_te=0.85_tx=0.77,0.85,0.77,0.3639,0.3100,1.1014,1.0000,3.08,0.204,80.86,65.75,77.36,11.94,9.61,1.09,0.00,0.00
varB_te=0.88_tx=0.88,0.88,0.88,0.3833,0.3300,1.1586,1.0000,5.00,0.962,63.85,56.47,76.20,12.38,10.17,1.25,0.00,0.00
varB_te=0.88_tx=0.85,0.88,0.85,0.3778,0.3200,1.1425,1.0000,4.32,0.343,70.88,56.47,76.55,12.27,9.97,1.21,0.00,0.00
varB_te=0.88_tx=0.83,0.88,0.83,0.3753,0.3200,1.1351,1.0000,4.14,0.286,74.35,56.47,76.65,12.26,9.91,1.18,0.00,0.00
varB_te=0.88_tx=0.80,0.88,0.8,0.3720,0.3200,1.1260,1.0000,3.91,0.238,77.63,56.47,76.75,12.25,9.82,1.18,0.00,0.00
varB_te=0.90_tx=0.90,0.9,0.9,0.3907,0.3400,1.1828,1.0270,6.12,1.054,61.08,48.94,75.48,12.78,10.36,1.38,0.00,0.00
varB_te=0.90_tx=0.87,0.9,0.87,0.3847,0.3300,1.1645,1.0000,5.34,0.369,68.74,48.94,75.74,12.68,10.24,1.34,0.00,0.00
varB_te=0.90_tx=0.85,0.9,0.85,0.3816,0.3300,1.1556,1.0000,5.21,0.308,72.20,48.94,76.02,12.61,10.07,1.30,0.00,0.00
varB_te=0.90_tx=0.82,0.9,0.8200000000000001,0.3789,0.3300,1.1483,1.0000,5.01,0.261,75.54,48.94,76.14,12.60,9.99,1.27,0.00,0.00
