row,n_rl,n_cls,mean_progress_m,median_progress_m,mean_ratio_vs_cls,median_ratio_vs_cls,worse_pct,term_cone_pct,term_jl_pct,term_lateral_pct,term_collision_pct,term_truncated_pct,term_alive_pct
pure_RL,10000,0,0.4140,0.3500,1.2760,1.0909,22.91,60.63,26.72,10.39,2.26,0.00,0.00
pure_Classical,0,10000,0.3323,0.3000,1.0000,1.0000,0.00,78.75,12.07,8.14,1.04,0.00,0.00
varA_tau=0.90,5261,4739,0.3899,0.3300,1.1831,1.0000,8.38,69.63,19.00,9.72,1.65,0.00,0.00
varA_tau=0.91,5645,4355,0.3934,0.3300,1.1956,1.0000,9.26,69.05,19.46,9.77,1.72,0.00,0.00
varA_tau=0.92,6067,3933,0.3963,0.3300,1.2049,1.0000,10.35,68.30,20.07,9.84,1.79,0.00,0.00
varA_tau=0.93,6483,3517,0.3989,0.3400,1.2153,1.0000,11.51,67.46,20.72,9.95,1.87,0.00,0.00
varA_tau=0.94,6947,3053,0.4015,0.3400,1.2252,1.0000,12.89,66.66,21.33,10.04,1.97,0.00,0.00
varA_tau=0.95,7462,2538,0.4045,0.3400,1.2364,1.0000,14.41,65.77,22.03,10.17,2.03,0.00,0.00
varA_tau=0.96,7949,2051,0.4077,0.3400,1.2489,1.0333,15.71,64.96,22.73,10.24,2.07,0.00,0.00
varA_tau=0.97,8489,1511,0.4108,0.3500,1.2612,1.0476,17.36,63.94,23.61,10.27,2.18,0.00,0.00
varA_tau=0.98,9009,991,0.4135,0.3500,1.2721,1.0606,18.97,62.82,24.57,10.39,2.22,0.00,0.00
varA_tau=0.99,9506,494,0.4147,0.3500,1.2778,1.0769,20.75,61.95,25.33,10.44,2.28,0.00,0.00
varA_tau=1.00,10000,0,0.4140,0.3500,1.2760,1.0909,22.91,60.63,26.72,10.39,2.26,0.00,0.00
oracle_hybrid,7709,2291,0.4398,0.3800,1.3510,1.0909,0.00,69.56,17.60,11.33,1.51,0.00,0.00
