row,tau_enter,tau_exit,mean_progress_m,median_progress_m,mean_ratio_vs_cls,median_ratio_vs_cls,worse_pct,mean_switches,zero_sw_pct,started_in_cls_pct,term_cone_pct,term_jl_pct,term_lateral_pct,term_collision_pct,term_truncated_pct,term_alive_pct
varB_te=0.80_tx=0.80,0.8,0.8,0.3691,0.3200,1.1079,1.0000,3.53,0.738,73.67,76.71,77.17,12.35,9.34,1.14,0.00,0.00
varB_te=0.80_tx=0.77,0.8,0.77,0.3644,0.3200,1.0939,1.0000,2.89,0.267,78.86,76.71,77.34,12.34,9.20,1.12,0.00,0.00
varB_te=0.80_tx=0.75,0.8,0.75,0.3621,0.3200,1.0874,1.0000,2.82,0.222,80.91,76.71,77.38,12.32,9.18,1.12,0.00,0.00
varB_te=0.80_tx=0.72,0.8,0.7200000000000001,0.3595,0.3100,1.0806,1.0000,2.78,0.187,82.98,76.71,77.51,12.34,9.06,1.09,0.00,0.00
varB_te=0.85_tx=0.85,0.85,0.85,0.3856,0.3300,1.1578,1.0000,5.32,0.929,66.68,64.56,75.90,12.92,9.81,1.37,0.00,0.00
varB_te=0.85_tx=0.82,0.85,0.82,0.3800,0.3300,1.1409,1.0000,4.36,0.333,73.22,64.56,76.15,12.90,9.64,1.31,0.00,0.00
varB_te=0.85_tx=0.80,0.85,0.7999999999999999,0.3766,0.3200,1.1315,1.0000,4.39,0.277,75.66,64.56,76.33,12.86,9.54,1.27,0.00,0.00
varB_te=0.85_tx=0.77,0.85,0.77,0.3734,0.3200,1.1226,1.0000,4.17,0.230,78.49,64.56,76.37,12.85,9.52,1.26,0.00,0.00
varB_te=0.88_tx=0.88,0.88,0.88,0.3976,0.3400,1.1961,1.0000,6.73,1.093,62.64,54.79,75.06,13.24,10.16,1.54,0.00,0.00
varB_te=0.88_tx=0.85,0.88,0.85,0.3906,0.3300,1.1739,1.0000,5.85,0.383,69.38,54.79,75.32,13.23,10.00,1.45,0.00,0.00
varB_te=0.88_tx=0.83,0.88,0.83,0.3879,0.3300,1.1665,1.0000,5.60,0.318,72.40,54.79,75.43,13.24,9.91,1.42,0.00,0.00
varB_te=0.88_tx=0.80,0.88,0.8,0.3844,0.3300,1.1568,1.0000,5.53,0.269,75.12,54.79,75.57,13.16,9.89,1.38,0.00,0.00
varB_te=0.90_tx=0.90,0.9,0.9,0.4055,0.3400,1.2216,1.0000,8.04,1.123,60.63,47.39,74.38,13.62,10.33,1.67,0.00,0.00
varB_te=0.90_tx=0.87,0.9,0.87,0.3990,0.3400,1.2004,1.0000,7.07,0.406,67.26,47.39,74.70,13.60,10.10,1.60,0.00,0.00
varB_te=0.90_tx=0.85,0.9,0.85,0.3961,0.3400,1.1922,1.0000,6.78,0.343,70.15,47.39,74.81,13.64,10.01,1.54,0.00,0.00
varB_te=0.90_tx=0.82,0.9,0.8200000000000001,0.3933,0.3400,1.1846,1.0000,6.54,0.292,73.05,47.39,74.93,13.64,9.95,1.48,0.00,0.00
