row,tau_enter,tau_exit,mean_progress_m,median_progress_m,mean_ratio_vs_cls,median_ratio_vs_cls,worse_pct,mean_switches,zero_sw_pct,started_in_cls_pct,term_cone_pct,term_jl_pct,term_lateral_pct,term_collision_pct,term_truncated_pct,term_alive_pct
varB_te=0.80_tx=0.80,0.8,0.8,0.3721,0.3200,1.1144,1.0000,3.56,0.823,71.46,76.71,78.48,10.82,9.63,1.07,0.00,0.00
varB_te=0.80_tx=0.77,0.8,0.77,0.3675,0.3200,1.0995,1.0000,2.80,0.293,77.23,76.71,78.65,10.81,9.50,1.04,0.00,0.00
varB_te=0.80_tx=0.75,0.8,0.75,0.3644,0.3100,1.0910,1.0000,2.72,0.238,79.80,76.71,78.72,10.78,9.48,1.02,0.00,0.00
varB_te=0.80_tx=0.72,0.8,0.7200000000000001,0.3616,0.3100,1.0838,1.0000,2.62,0.196,82.33,76.71,78.89,10.75,9.35,1.01,0.00,0.00
varB_te=0.85_tx=0.85,0.85,0.85,0.3891,0.3300,1.1662,1.0000,5.42,1.022,64.18,64.56,77.26,11.38,10.05,1.31,0.00,0.00
varB_te=0.85_tx=0.82,0.85,0.82,0.3825,0.3300,1.1461,1.0000,4.47,0.363,71.33,64.56,77.56,11.30,9.88,1.26,0.00,0.00
varB_te=0.85_tx=0.80,0.85,0.7999999999999999,0.3795,0.3200,1.1377,1.0000,4.22,0.298,74.05,64.56,77.72,11.24,9.83,1.21,0.00,0.00
varB_te=0.85_tx=0.77,0.85,0.77,0.3758,0.3200,1.1270,1.0000,4.08,0.244,77.50,64.56,77.84,11.22,9.75,1.19,0.00,0.00
varB_te=0.88_tx=0.88,0.88,0.88,0.4012,0.3400,1.2056,1.0000,6.97,1.196,60.19,54.79,76.25,11.88,10.42,1.45,0.00,0.00
varB_te=0.88_tx=0.85,0.88,0.85,0.3942,0.3300,1.1828,1.0000,5.91,0.417,67.11,54.79,76.63,11.76,10.19,1.42,0.00,0.00
varB_te=0.88_tx=0.83,0.88,0.83,0.3907,0.3300,1.1732,1.0000,5.63,0.341,70.79,54.79,76.74,11.74,10.18,1.34,0.00,0.00
varB_te=0.88_tx=0.80,0.88,0.8,0.3870,0.3300,1.1630,1.0000,5.33,0.284,73.97,54.79,76.91,11.68,10.09,1.32,0.00,0.00
varB_te=0.90_tx=0.90,0.9,0.9,0.4095,0.3500,1.2335,1.0278,8.28,1.246,58.00,47.39,75.60,12.21,10.60,1.59,0.00,0.00
varB_te=0.90_tx=0.87,0.9,0.87,0.4022,0.3400,1.2088,1.0000,7.19,0.441,65.26,47.39,75.99,12.07,10.41,1.53,0.00,0.00
varB_te=0.90_tx=0.85,0.9,0.85,0.3989,0.3400,1.1992,1.0000,6.88,0.365,68.62,47.39,76.20,12.09,10.21,1.50,0.00,0.00
varB_te=0.90_tx=0.82,0.9,0.8200000000000001,0.3957,0.3400,1.1905,1.0000,6.58,0.305,72.11,47.39,76.39,12.03,10.15,1.43,0.00,0.00
