task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
0,30,28,1.0714285714285714,cone,cone
1,32,30,1.0666666666666667,cone,cone
2,32,26,1.2307692307692308,cone,cone
3,17,29,0.5862068965517241,collision,cone
4,111,32,3.46875,jl,cone
5,45,28,1.6071428571428572,cone,jl
6,67,52,1.2884615384615385,jl,cone
7,43,26,1.6538461538461537,cone,cone
8,26,22,1.1818181818181819,cone,cone
9,31,27,1.1481481481481481,jl,cone
10,109,27,4.037037037037037,cone,cone
11,14,47,0.2978723404255319,jl,cone
12,30,24,1.25,cone,cone
13,23,64,0.359375,jl,cone
14,37,25,1.48,cone,cone
15,39,23,1.6956521739130435,cone,cone
16,59,32,1.84375,jl,cone
17,28,24,1.1666666666666667,cone,cone
18,15,64,0.234375,jl,cone
19,6,22,0.2727272727272727,jl,jl
20,59,50,1.18,jl,cone
21,46,24,1.9166666666666667,jl,cone
22,33,31,1.064516129032258,cone,cone
23,85,61,1.3934426229508197,cone,cone
24,37,33,1.121212121212121,jl,cone
25,22,18,1.2222222222222223,cone,cone
26,43,43,1.0,cone,cone
27,23,22,1.0454545454545454,cone,cone
28,72,32,2.25,cone,cone
29,23,23,1.0,lateral,lateral
30,74,54,1.3703703703703705,cone,cone
31,135,109,1.238532110091743,cone,cone
32,30,30,1.0,lateral,lateral
33,97,25,3.88,cone,cone
34,8,10,0.8,jl,jl
35,24,23,1.0434782608695652,lateral,lateral
36,68,35,1.9428571428571428,cone,cone
37,47,37,1.2702702702702702,cone,cone
38,88,37,2.3783783783783785,jl,cone
39,65,47,1.3829787234042554,cone,cone
40,49,51,0.9607843137254902,cone,cone
41,50,42,1.1904761904761905,cone,cone
42,40,39,1.0256410256410255,lateral,cone
43,12,10,1.2,jl,jl
44,21,21,1.0,cone,cone
45,61,45,1.3555555555555556,jl,cone
46,51,44,1.1590909090909092,cone,cone
47,36,33,1.0909090909090908,cone,cone
48,49,33,1.4848484848484849,cone,jl
49,92,28,3.2857142857142856,cone,cone
50,73,45,1.6222222222222222,cone,cone
51,23,31,0.7419354838709677,jl,cone
52,13,23,0.5652173913043478,jl,collision
53,20,21,0.9523809523809523,collision,cone
54,34,34,1.0,cone,cone
55,24,25,0.96,jl,cone
56,14,14,1.0,lateral,lateral
57,45,29,1.5517241379310345,cone,cone
58,19,18,1.0555555555555556,cone,cone
59,20,20,1.0,cone,cone
60,77,29,2.6551724137931036,cone,cone
61,81,45,1.8,cone,cone
62,21,13,1.6153846153846154,cone,jl
63,76,39,1.9487179487179487,cone,cone
64,92,91,1.010989010989011,cone,cone
65,35,35,1.0,lateral,lateral
66,88,50,1.76,cone,cone
67,41,40,1.025,jl,jl
68,39,40,0.975,jl,cone
69,35,50,0.7,cone,cone
70,40,40,1.0,lateral,lateral
71,35,40,0.875,jl,cone
72,22,16,1.375,cone,cone
73,13,16,0.8125,jl,jl
74,14,30,0.4666666666666667,jl,cone
75,46,37,1.2432432432432432,jl,cone
76,29,27,1.0740740740740742,cone,cone
77,20,19,1.0526315789473684,cone,cone
78,12,12,1.0,lateral,lateral
79,15,17,0.8823529411764706,jl,jl
80,47,42,1.119047619047619,cone,cone
81,20,15,1.3333333333333333,cone,cone
82,94,36,2.611111111111111,cone,cone
83,83,33,2.515151515151515,cone,cone
84,34,30,1.1333333333333333,cone,cone
85,81,49,1.653061224489796,cone,cone
86,110,20,5.5,cone,cone
87,15,15,1.0,cone,cone
88,28,33,0.8484848484848485,cone,cone
89,53,44,1.2045454545454546,jl,cone
90,24,22,1.0909090909090908,cone,cone
91,64,63,1.0158730158730158,cone,cone
92,16,26,0.6153846153846154,jl,cone
93,48,35,1.3714285714285714,cone,cone
94,35,26,1.3461538461538463,cone,cone
95,29,26,1.1153846153846154,cone,cone
96,14,14,1.0,lateral,lateral
97,50,32,1.5625,cone,cone
98,34,23,1.4782608695652173,cone,cone
99,48,41,1.170731707317073,cone,cone
100,27,22,1.2272727272727273,cone,cone
101,24,22,1.0909090909090908,cone,cone
102,30,25,1.2,jl,jl
103,19,20,0.95,jl,jl
104,15,15,1.0,cone,cone
105,57,37,1.5405405405405406,jl,cone
106,11,16,0.6875,jl,jl
107,28,17,1.6470588235294117,cone,cone
108,49,49,1.0,cone,cone
109,26,42,0.6190476190476191,jl,cone
110,15,14,1.0714285714285714,cone,cone
111,62,55,1.1272727272727272,lateral,cone
112,21,16,1.3125,cone,jl
113,38,46,0.8260869565217391,jl,jl
114,32,33,0.9696969696969697,lateral,lateral
115,33,26,1.2692307692307692,jl,cone
116,64,53,1.2075471698113207,cone,cone
117,39,33,1.1818181818181819,cone,jl
118,20,30,0.6666666666666666,jl,cone
119,41,39,1.0512820512820513,cone,cone
120,26,25,1.04,cone,cone
121,58,50,1.16,lateral,cone
122,40,39,1.0256410256410255,cone,cone
123,17,17,1.0,jl,jl
124,13,13,1.0,cone,lateral
125,8,21,0.38095238095238093,collision,cone
126,13,13,1.0,jl,jl
127,50,30,1.6666666666666667,cone,cone
128,38,35,1.0857142857142856,cone,cone
129,43,43,1.0,lateral,lateral
130,95,68,1.3970588235294117,cone,cone
131,22,20,1.1,cone,cone
132,17,16,1.0625,cone,cone
133,14,10,1.4,jl,jl
134,109,41,2.658536585365854,cone,cone
135,39,39,1.0,cone,cone
136,51,44,1.1590909090909092,cone,cone
137,20,19,1.0526315789473684,cone,cone
138,36,25,1.44,cone,cone
139,32,25,1.28,cone,cone
140,24,23,1.0434782608695652,cone,cone
141,32,24,1.3333333333333333,cone,cone
142,38,33,1.1515151515151516,jl,jl
143,9,36,0.25,collision,cone
144,29,23,1.2608695652173914,cone,cone
145,62,56,1.1071428571428572,lateral,cone
146,78,64,1.21875,cone,cone
147,32,24,1.3333333333333333,cone,jl
148,74,32,2.3125,jl,cone
149,32,25,1.28,cone,cone
150,54,46,1.173913043478261,cone,cone
151,86,31,2.774193548387097,cone,cone
152,31,30,1.0333333333333334,lateral,jl
153,84,62,1.3548387096774193,cone,cone
154,11,27,0.4074074074074074,jl,cone
155,20,27,0.7407407407407407,cone,cone
156,12,16,0.75,collision,collision
157,61,39,1.564102564102564,cone,cone
158,30,23,1.3043478260869565,cone,cone
159,63,27,2.3333333333333335,cone,jl
160,66,40,1.65,jl,cone
161,47,36,1.3055555555555556,cone,cone
162,26,27,0.9629629629629629,cone,cone
163,36,23,1.565217391304348,jl,cone
164,44,38,1.1578947368421053,cone,cone
165,24,24,1.0,lateral,lateral
166,19,19,1.0,cone,cone
167,47,44,1.0681818181818181,cone,cone
168,66,32,2.0625,jl,cone
169,29,27,1.0740740740740742,cone,cone
170,32,28,1.1428571428571428,lateral,cone
171,21,23,0.9130434782608695,cone,cone
172,53,35,1.5142857142857142,jl,cone
173,65,33,1.9696969696969697,cone,cone
174,71,38,1.868421052631579,cone,cone
175,29,30,0.9666666666666667,jl,cone
176,5,15,0.3333333333333333,jl,jl
177,20,46,0.43478260869565216,jl,cone
178,46,30,1.5333333333333334,cone,cone
179,16,18,0.8888888888888888,jl,cone
180,16,16,1.0,jl,cone
181,19,18,1.0555555555555556,cone,cone
182,38,25,1.52,cone,cone
183,21,21,1.0,lateral,lateral
184,26,45,0.5777777777777777,jl,jl
185,18,17,1.0588235294117647,cone,cone
186,43,36,1.1944444444444444,cone,cone
187,94,36,2.611111111111111,cone,cone
188,77,30,2.566666666666667,cone,jl
189,55,43,1.2790697674418605,cone,cone
190,20,23,0.8695652173913043,jl,cone
191,14,14,1.0,lateral,lateral
192,27,23,1.173913043478261,cone,cone
193,19,19,1.0,lateral,lateral
194,19,17,1.1176470588235294,jl,jl
195,21,20,1.05,cone,cone
196,91,26,3.5,cone,cone
197,101,33,3.0606060606060606,cone,cone
198,82,72,1.1388888888888888,cone,cone
199,29,28,1.0357142857142858,cone,cone
200,43,42,1.0238095238095237,lateral,lateral
201,31,28,1.1071428571428572,cone,cone
202,17,17,1.0,cone,cone
203,32,33,0.9696969696969697,jl,cone
204,60,50,1.2,jl,cone
205,59,48,1.2291666666666667,lateral,cone
206,92,71,1.295774647887324,cone,cone
207,13,14,0.9285714285714286,jl,cone
208,13,21,0.6190476190476191,jl,cone
209,76,50,1.52,cone,cone
210,29,29,1.0,cone,cone
211,28,29,0.9655172413793104,cone,cone
212,76,28,2.7142857142857144,cone,cone
213,14,17,0.8235294117647058,collision,collision
214,20,27,0.7407407407407407,jl,cone
215,25,26,0.9615384615384616,cone,cone
216,46,36,1.2777777777777777,jl,jl
217,29,25,1.16,cone,cone
218,55,44,1.25,cone,cone
219,22,21,1.0476190476190477,cone,cone
220,21,23,0.9130434782608695,jl,jl
221,3,12,0.25,jl,jl
222,69,69,1.0,jl,cone
223,36,35,1.0285714285714285,lateral,cone
224,30,28,1.0714285714285714,cone,cone
225,15,21,0.7142857142857143,jl,jl
226,44,43,1.0232558139534884,cone,cone
227,82,77,1.0649350649350648,cone,cone
228,38,34,1.1176470588235294,jl,cone
229,64,31,2.064516129032258,cone,cone
230,21,37,0.5675675675675675,jl,cone
231,9,15,0.6,collision,collision
232,22,22,1.0,lateral,lateral
233,53,53,1.0,lateral,lateral
234,69,59,1.1694915254237288,cone,cone
235,23,19,1.2105263157894737,cone,cone
236,101,45,2.2444444444444445,cone,cone
237,23,23,1.0,lateral,lateral
238,66,27,2.4444444444444446,jl,cone
239,47,40,1.175,cone,cone
240,28,15,1.8666666666666667,jl,jl
241,43,43,1.0,lateral,cone
242,31,43,0.7209302325581395,jl,lateral
243,12,12,1.0,jl,jl
244,41,28,1.4642857142857142,cone,cone
245,17,14,1.2142857142857142,cone,cone
246,17,25,0.68,jl,cone
247,14,14,1.0,lateral,lateral
248,74,27,2.740740740740741,cone,cone
249,8,12,0.6666666666666666,collision,collision
250,63,62,1.0161290322580645,cone,cone
251,49,28,1.75,cone,cone
252,62,52,1.1923076923076923,cone,cone
253,49,37,1.3243243243243243,cone,cone
254,24,34,0.7058823529411765,jl,cone
255,21,20,1.05,cone,cone
256,21,21,1.0,cone,cone
257,7,15,0.4666666666666667,jl,jl
258,40,34,1.1764705882352942,jl,jl
259,20,20,1.0,cone,cone
260,48,39,1.2307692307692308,cone,cone
261,46,36,1.2777777777777777,cone,cone
262,18,18,1.0,cone,cone
263,17,27,0.6296296296296297,cone,cone
264,29,51,0.5686274509803921,cone,cone
265,8,16,0.5,jl,cone
266,35,31,1.1290322580645162,jl,cone
267,15,16,0.9375,cone,cone
268,24,23,1.0434782608695652,cone,cone
269,26,25,1.04,cone,cone
270,73,53,1.3773584905660377,cone,cone
271,21,23,0.9130434782608695,cone,cone
272,85,70,1.2142857142857142,cone,cone
273,22,21,1.0476190476190477,cone,cone
274,105,31,3.3870967741935485,jl,cone
275,27,27,1.0,lateral,lateral
276,21,21,1.0,cone,cone
277,79,71,1.1126760563380282,cone,cone
278,28,24,1.1666666666666667,cone,cone
279,37,21,1.7619047619047619,cone,cone
280,64,62,1.032258064516129,cone,cone
281,80,51,1.5686274509803921,cone,cone
282,26,23,1.1304347826086956,jl,jl
283,40,28,1.4285714285714286,cone,cone
284,26,25,1.04,cone,cone
285,20,19,1.0526315789473684,cone,cone
286,17,17,1.0,cone,cone
287,17,17,1.0,cone,cone
288,39,31,1.2580645161290323,cone,cone
289,96,97,0.9896907216494846,cone,cone
290,22,23,0.9565217391304348,jl,cone
291,25,22,1.1363636363636365,jl,jl
292,18,18,1.0,lateral,lateral
293,24,24,1.0,jl,cone
294,61,61,1.0,lateral,lateral
295,38,30,1.2666666666666666,cone,cone
296,44,30,1.4666666666666666,cone,cone
297,81,65,1.2461538461538462,cone,cone
298,37,24,1.5416666666666667,cone,cone
299,28,28,1.0,jl,jl
300,17,17,1.0,cone,cone
301,17,16,1.0625,cone,cone
302,29,20,1.45,jl,jl
303,34,29,1.1724137931034482,jl,jl
304,27,27,1.0,lateral,lateral
305,16,28,0.5714285714285714,jl,jl
306,27,25,1.08,cone,cone
307,37,36,1.0277777777777777,lateral,cone
308,51,46,1.108695652173913,jl,jl
309,23,24,0.9583333333333334,cone,cone
310,47,36,1.3055555555555556,cone,cone
311,18,18,1.0,lateral,lateral
312,17,11,1.5454545454545454,jl,jl
313,48,31,1.5483870967741935,cone,cone
314,6,24,0.25,jl,cone
315,1,38,0.02631578947368421,jl,cone
316,38,37,1.027027027027027,lateral,jl
317,26,48,0.5416666666666666,jl,cone
318,34,31,1.096774193548387,cone,cone
319,51,49,1.0408163265306123,cone,cone
320,36,36,1.0,cone,cone
321,10,10,1.0,jl,jl
322,63,45,1.4,cone,cone
323,51,27,1.8888888888888888,jl,cone
324,8,40,0.2,jl,cone
325,67,46,1.4565217391304348,cone,cone
326,23,23,1.0,cone,cone
327,52,42,1.2380952380952381,jl,cone
328,29,27,1.0740740740740742,cone,cone
329,47,47,1.0,cone,cone
330,28,25,1.12,cone,cone
331,19,25,0.76,jl,cone
332,118,31,3.806451612903226,cone,cone
333,24,23,1.0434782608695652,cone,cone
334,103,26,3.9615384615384617,cone,cone
335,22,18,1.2222222222222223,cone,cone
336,73,46,1.5869565217391304,jl,cone
337,50,48,1.0416666666666667,jl,jl
338,35,30,1.1666666666666667,cone,cone
339,69,43,1.6046511627906976,cone,cone
340,22,19,1.1578947368421053,cone,cone
341,32,28,1.1428571428571428,jl,cone
342,52,53,0.9811320754716981,cone,cone
343,1,19,0.05263157894736842,jl,cone
344,43,40,1.075,lateral,cone
345,24,24,1.0,cone,cone
346,57,60,0.95,jl,jl
347,57,38,1.5,cone,cone
348,6,19,0.3157894736842105,jl,cone
349,36,31,1.1612903225806452,cone,cone
350,42,13,3.230769230769231,jl,jl
351,37,33,1.121212121212121,cone,cone
352,71,35,2.0285714285714285,lateral,cone
353,27,30,0.9,cone,cone
354,30,30,1.0,cone,cone
355,98,56,1.75,cone,cone
356,50,38,1.3157894736842106,cone,cone
357,45,48,0.9375,cone,cone
358,94,51,1.8431372549019607,cone,cone
359,17,16,1.0625,jl,jl
360,18,11,1.6363636363636365,cone,jl
361,28,22,1.2727272727272727,cone,cone
362,76,68,1.1176470588235294,jl,cone
363,34,31,1.096774193548387,jl,cone
364,39,29,1.3448275862068966,cone,cone
365,55,18,3.0555555555555554,jl,cone
366,15,14,1.0714285714285714,cone,cone
367,57,43,1.3255813953488371,cone,cone
368,48,26,1.8461538461538463,jl,cone
369,34,30,1.1333333333333333,cone,cone
370,22,20,1.1,cone,cone
371,62,54,1.1481481481481481,cone,cone
372,92,49,1.8775510204081634,cone,cone
373,21,18,1.1666666666666667,cone,cone
374,26,23,1.1304347826086956,cone,cone
375,17,18,0.9444444444444444,cone,cone
376,65,44,1.4772727272727273,cone,cone
377,31,27,1.1481481481481481,cone,cone
378,6,34,0.17647058823529413,jl,jl
379,32,24,1.3333333333333333,cone,cone
380,77,47,1.6382978723404256,lateral,cone
381,40,34,1.1764705882352942,cone,cone
382,24,25,0.96,cone,cone
383,23,21,1.0952380952380953,cone,cone
384,6,10,0.6,jl,collision
385,58,59,0.9830508474576272,cone,lateral
386,26,26,1.0,lateral,lateral
387,78,75,1.04,lateral,cone
388,79,68,1.161764705882353,cone,cone
389,53,53,1.0,lateral,lateral
390,61,68,0.8970588235294118,cone,cone
391,35,35,1.0,lateral,lateral
392,33,31,1.064516129032258,cone,cone
393,23,20,1.15,cone,cone
394,34,34,1.0,lateral,lateral
395,64,18,3.5555555555555554,cone,cone
396,17,21,0.8095238095238095,jl,cone
