i,theta_n_deg,K_branches,argmax_gid,top1,top2,top1_top2_gap,Lmax_g0,Lstd_g0,Lmax_g1,Lstd_g1,Lmax_g2,Lstd_g2,Lmax_g3,Lstd_g3,Lmax_g4,Lstd_g4,Lmax_g5,Lstd_g5,top_branch_bimodal,top_branch_npeaks
0,-20.0,3,0,0.22133328020572662,0.0533333346247673,0.16799994558095932,0.22133328020572662,0.08295819908380508,0.03733333572745323,0.011118600144982338,0.0533333346247673,0.00657680444419384,,,,,,,1,2
1,-18.0,3,0,0.22933329641819,0.0533333346247673,0.1759999617934227,0.22933329641819,0.08772550523281097,0.0533333346247673,0.01563558354973793,0.05066666752099991,0.006077232770621777,,,,,,,1,2
2,-16.0,2,0,0.23733334243297577,0.07333333790302277,0.164000004529953,0.23733334243297577,0.09078595787286758,0.07333333790302277,0.021045299246907234,,,,,,,,,1,2
3,-14.0,3,0,0.25066670775413513,0.09999998658895493,0.1506667211651802,0.25066670775413513,0.09591810405254364,0.09999998658895493,0.028325581923127174,,,0.04800000414252281,0.004997706972062588,,,,,1,2
4,-12.0,3,0,0.28800010681152344,0.15199989080429077,0.13600021600723267,0.28800010681152344,0.11597487330436707,0.15199989080429077,0.03908149152994156,,,0.04533333703875542,0.004359327722340822,,,,,1,2
5,-10.0,3,0,0.5533339381217957,0.18133322894573212,0.37200070917606354,0.5533339381217957,0.2417605221271515,0.18133322894573212,0.05079108104109764,,,0.04533333703875542,0.004102162551134825,,,,,1,2
6,-8.0,3,0,0.5506672859191895,0.1866665631532669,0.36400072276592255,0.5506672859191895,0.2404971867799759,0.1866665631532669,0.05343865975737572,,,0.04533333703875542,0.0036489516496658325,,,,,1,2
7,-6.0,3,0,0.5480005741119385,0.1866665482521057,0.36133402585983276,0.5480005741119385,0.23936328291893005,0.1866665482521057,0.050223201513290405,,,0.04266666620969772,0.003672261955216527,,,,,1,2
8,-4.0,3,0,0.5440006256103516,0.19733326137065887,0.3466673642396927,0.5440006256103516,0.22839830815792084,0.19733326137065887,0.04820498824119568,,,0.04266666993498802,0.0033966258633881807,,,,,1,2
9,-2.0,3,0,0.5413339138031006,0.19999991357326508,0.3413340002298355,0.5413339138031006,0.2288525253534317,0.19999991357326508,0.04526897892355919,,,0.04266666620969772,0.0031552419532090425,,,,,1,2
10,0.0,3,0,0.5373339056968689,0.20266658067703247,0.3346673250198364,0.5373339056968689,0.2143941968679428,0.20266658067703247,0.04539879411458969,,,0.03999999910593033,0.002874067286029458,,,,,1,2
11,2.0,3,0,0.5346671938896179,0.20533326268196106,0.32933393120765686,0.5346671938896179,0.19633521139621735,0.20533326268196106,0.04485483095049858,,,0.03999999910593033,0.002763057127594948,,,,,1,2
12,4.0,3,0,0.530667245388031,0.20533326268196106,0.32533398270606995,0.530667245388031,0.187559574842453,0.20533326268196106,0.04751474782824516,,,0.03999999910593033,0.0025848785880953074,,,,,1,2
13,6.0,3,0,0.5266671776771545,0.20533326268196106,0.3213339149951935,0.5266671776771545,0.17635922133922577,0.20533326268196106,0.05010215565562248,,,0.03999999910593033,0.002423000754788518,,,,,1,2
14,8.0,4,0,0.5240005254745483,0.5240005254745483,0.0,0.5240005254745483,0.1645672619342804,0.19999991357326508,0.05160145089030266,,,0.03999999910593033,0.0024329591542482376,0.5240005254745483,0.14433617889881134,,,1,2
15,10.0,4,0,0.5213338732719421,0.5200005173683167,0.0013333559036254883,0.5213338732719421,0.136455237865448,0.19999991357326508,0.05306009203195572,,,0.03733333572745323,0.002052467782050371,0.5200005173683167,0.14320041239261627,,,1,2
16,12.0,3,0,0.5173339247703552,0.19466657936573029,0.32266734540462494,0.5173339247703552,0.11958102881908417,0.19466657936573029,0.053615618497133255,,,0.03733333572745323,0.0020827334374189377,,,,,1,2
17,14.0,3,0,0.5133338570594788,0.1839998960494995,0.32933396100997925,0.5133338570594788,0.11847253888845444,0.1839998960494995,0.05039123818278313,,,0.03733333572745323,0.0023399905767291784,,,,,1,2
18,16.0,4,0,0.5106672644615173,0.5093339085578918,0.0013333559036254883,0.5106672644615173,0.0977824479341507,0.17599989473819733,0.04631013423204422,,,0.03733333945274353,0.0022902307100594044,,,0.5093339085578918,0.0940902978181839,1,2
19,18.0,4,0,0.5066671967506409,0.5053338408470154,0.0013333559036254883,0.5066671967506409,0.09781141579151154,0.16533319652080536,0.04025758430361748,,,0.03733333572745323,0.0022176664788275957,,,0.5053338408470154,0.06916768103837967,1,2
20,20.0,4,0,0.5026671886444092,0.5013338923454285,0.0013332962989807129,0.5026671886444092,0.07147422432899475,0.15199989080429077,0.034092485904693604,,,0.03733333572745323,0.001996263163164258,,,0.5013338923454285,0.0692511796951294,0,1
