i,delta_cm,K_branches,direction,argmax_gid,top1,top2,top1_top2_gap,Lmax_g0,Lstd_g0,Lmax_g1,Lstd_g1,Lmax_g2,Lstd_g2,Lmax_g3,Lstd_g3,top_branch_bimodal,top_branch_npeaks
0,-5.0,3,d0,1,0.1306665986776352,0.04533333703875542,0.08533326163887978,0.04533333703875542,0.0031311314087361097,0.1306665986776352,0.028579937294125557,0.04000000283122063,0.002677843440324068,,,1,2
1,-4.0,3,d0,1,0.13733325898647308,0.045333340764045715,0.09199991822242737,0.045333340764045715,0.003131131175905466,0.13733325898647308,0.030129415914416313,0.040000006556510925,0.0026214844547212124,,,1,2
2,-3.0,3,d0,1,0.13999991118907928,0.04533333703875542,0.09466657415032387,0.04533333703875542,0.002864821581169963,0.13999991118907928,0.030591486021876335,0.04000000283122063,0.003117149928584695,,,1,2
3,-2.0,4,d0,0,0.5546672940254211,0.309333473443985,0.24533382058143616,0.5546672940254211,0.1914696842432022,0.14666657149791718,0.03184744343161583,0.04000000283122063,0.002731999848037958,0.309333473443985,0.1056266576051712,1,2
4,-1.0,3,d0,0,0.5453339219093323,0.20799994468688965,0.3373339772224426,0.5453339219093323,0.21925674378871918,0.20799994468688965,0.039684996008872986,0.04000000283122063,0.0029333336278796196,,,1,2
5,0.0,3,d0,0,0.5373339056968689,0.20266659557819366,0.33466731011867523,0.5373339056968689,0.21439418196678162,0.20266659557819366,0.04089680686593056,0.04000000283122063,0.0029119220562279224,,,1,2
6,1.0,3,d0,0,0.5293338894844055,0.19466657936573029,0.33466731011867523,0.5293338894844055,0.21437758207321167,0.19466657936573029,0.04827946051955223,0.04000000283122063,0.002886412898078561,,,1,2
7,2.0,3,d0,0,0.5213339328765869,0.1866665780544281,0.3346673548221588,0.5213339328765869,0.2157665640115738,0.1866665780544281,0.04506612941622734,0.040000006556510925,0.002786124823614955,,,1,2
8,3.0,3,d0,0,0.5133338570594788,0.17599987983703613,0.3373339772224426,0.5133338570594788,0.2160165160894394,0.17599987983703613,0.04383740946650505,0.04266666993498802,0.0031098411418497562,,,1,2
9,4.0,3,d0,0,0.5040005445480347,0.16799986362457275,0.3360006809234619,0.5040005445480347,0.21190093457698822,0.16799986362457275,0.04169149696826935,0.04266666993498802,0.003224792890250683,,,1,2
10,5.0,3,d0,0,0.4960005283355713,0.15999987721443176,0.3360006511211395,0.4960005283355713,0.21995504200458527,0.15999987721443176,0.03794846311211586,0.04266666993498802,0.0034563953522592783,,,1,2
11,-5.0,3,n0,0,0.31733351945877075,0.2213333249092102,0.09600019454956055,0.31733351945877075,0.13081832230091095,0.2213333249092102,0.06875646114349365,0.050666674971580505,0.004233202897012234,,,1,2
12,-4.0,3,n0,0,0.5560006499290466,0.21866662800312042,0.3373340219259262,0.5560006499290466,0.24380262196063995,0.21866662800312042,0.06389856338500977,0.04800000414252281,0.0037138545885682106,,,1,2
13,-3.0,3,n0,0,0.5520006418228149,0.21333329379558563,0.3386673480272293,0.5520006418228149,0.24078385531902313,0.21333329379558563,0.05596238002181053,0.04533333703875542,0.0034600968938320875,,,1,2
14,-2.0,3,n0,0,0.5480006337165833,0.21066661179065704,0.3373340219259262,0.5480006337165833,0.23407864570617676,0.21066661179065704,0.05540892854332924,0.04266666993498802,0.002944946987554431,,,1,2
15,-1.0,3,n0,0,0.5426672697067261,0.20533327758312225,0.3373339921236038,0.5426672697067261,0.2292999029159546,0.20533327758312225,0.04537584260106087,0.04266666993498802,0.0033066668547689915,,,1,2
16,0.0,3,n0,0,0.5373339056968689,0.20533327758312225,0.33200062811374664,0.5373339056968689,0.21885733306407928,0.20533327758312225,0.04538637027144432,0.04000000283122063,0.0028996861074119806,,,1,2
17,1.0,3,n0,0,0.5320006012916565,0.19733326137065887,0.3346673399209976,0.5320006012916565,0.20282241702079773,0.19733326137065887,0.04058350250124931,0.04000000283122063,0.0028467215597629547,,,1,2
18,2.0,3,n0,0,0.5266672372817993,0.15199989080429077,0.37466734647750854,0.5266672372817993,0.19496749341487885,0.15199989080429077,0.03208320587873459,0.04000000283122063,0.002850216580554843,,,1,2
19,3.0,3,n0,0,0.5213339328765869,0.14933323860168457,0.37200069427490234,0.5213339328765869,0.17338421940803528,0.14933323860168457,0.03013436868786812,0.03733333945274353,0.0027278324123471975,,,1,2
20,4.0,3,n0,0,0.5160005688667297,0.1359999179840088,0.38000065088272095,0.5160005688667297,0.1610657423734665,0.1359999179840088,0.027304479852318764,0.03733333572745323,0.0028839479200541973,,,1,2
21,5.0,3,n0,0,0.5093339085578918,0.1266666054725647,0.38266730308532715,0.5093339085578918,0.15860521793365479,0.1266666054725647,0.025425786152482033,0.03733333572745323,0.0031376141123473644,,,1,2
22,-5.0,3,d0xn0,1,0.17866656184196472,0.13599993288516998,0.04266662895679474,0.13599993288516998,0.029725369065999985,0.17866656184196472,0.05165505036711693,0.045333340764045715,0.003690805984660983,,,1,2
23,-4.0,3,d0xn0,0,0.5466672778129578,0.1839998960494995,0.36266738176345825,0.5466672778129578,0.11015792936086655,0.1839998960494995,0.05023429915308952,0.04266666993498802,0.0036965813487768173,,,1,2
24,-3.0,3,d0xn0,0,0.545333981513977,0.19199992716312408,0.35333405435085297,0.545333981513977,0.1319945901632309,0.19199992716312408,0.04793144762516022,0.04266667366027832,0.003654793370515108,,,1,2
25,-2.0,3,d0xn0,0,0.5426672697067261,0.19733326137065887,0.3453340083360672,0.5426672697067261,0.1462419629096985,0.19733326137065887,0.04598011076450348,0.04266666993498802,0.003330665873363614,,,1,2
26,-1.0,3,d0xn0,0,0.5400006175041199,0.19999992847442627,0.3400006890296936,0.5400006175041199,0.18250656127929688,0.19999992847442627,0.045810990035533905,0.04266666993498802,0.003137614345178008,,,1,2
27,0.0,3,d0xn0,0,0.5373339056968689,0.19999992847442627,0.3373339772224426,0.5373339056968689,0.2143460214138031,0.19999992847442627,0.04087262973189354,0.04000000283122063,0.0029119220562279224,,,1,2
28,1.0,3,d0xn0,0,0.5346672534942627,0.20533327758312225,0.32933397591114044,0.5346672534942627,0.23003169894218445,0.20533327758312225,0.04459860920906067,0.04000000283122063,0.002796315122395754,,,1,2
29,2.0,3,d0xn0,0,0.5320006012916565,0.20533327758312225,0.32666732370853424,0.5320006012916565,0.23035933077335358,0.20533327758312225,0.04748324304819107,0.04000000283122063,0.0027630580589175224,,,1,2
30,3.0,3,d0xn0,0,0.5293338894844055,0.20266659557819366,0.32666729390621185,0.5293338894844055,0.21658051013946533,0.20266659557819366,0.04657696932554245,0.04000000283122063,0.002425934188067913,,,1,3
31,4.0,3,d0xn0,0,0.2586667239665985,0.20266659557819366,0.056000128388404846,0.2586667239665985,0.09928257763385773,0.20266659557819366,0.05199037492275238,0.04000000283122063,0.002551653189584613,,,1,2
